what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980122116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980123886
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1296980127256
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1296980127256
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1296980128106
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980133426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980134856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980161948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980163478
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296980170829
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296980172510
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296980172770
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1296980178430
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296980192681
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296980195892
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1296980200713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1296980440273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980467853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296980787358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296981010426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296981747255
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296981821099
